Timestamp,Altitude_ft,Airspeed_kts,AccelX,AccelY,AccelZ
09:00:59.724;3188;81;0,433;-0,288;0,389
09:00:59.973;3186;81;0,456;-0,288;0,402
09:01:00.239;3184;81;0,474;-0,250;0,415
09:01:00.504;3182;81;0,492;-0,214;0,425
09:01:00.784;3181;81;0,510;-0,184;0,433
09:01:01.049;3179;81;0,527;-0,167;0,439
09:01:01.312;3177;81;0,542;-0,138;0,444
09:01:01.577;3176;81;0,557;-0,112;0,447
09:01:01.857;3174;81;0,571;-0,074;0,451
09:01:02.134;3172;81;0,586;-0,046;0,450
09:01:02.400;3170;81;0,599;-0,003;0,448
09:01:02.665;3168;81;0,612;0,020;0,444
09:01:02.917;3167;82;0,622;0,042;0,438
09:01:03.179;3165;82;0,634;0,051;0,432
09:01:03.427;3163;82;0,646;0,085;0,424
09:01:03.692;3162;82;0,656;0,115;0,415
09:01:03.972;3160;82;0,664;0,148;0,407
09:01:04.237;3158;82;0,674;0,186;0,396
09:01:04.501;3156;82;0,682;0,237;0,384
09:01:04.763;3155;82;0,691;0,332;0,365
09:01:05.027;3153;82;4,810;0,700;-0,427
09:01:05.290;3151;82;-2,316;0,710;0,356
09:01:05.555;3150;82;-3,903;0,734;0,291
09:01:05.835;3148;82;-3,153;-1,788;-0,064
09:01:06.099;3147;82;-2,988;-3,280;0,204
09:01:06.362;3145;82;-3,266;-3,400;0,179
09:01:06.627;3143;82;-2,612;-1,445;0,662
09:01:06.891;3141;82;-1,797;-0,610;0,791
09:01:07.155;3138;82;-1,922;-1,036;0,889
09:01:07.434;3136;82;-2,279;0,156;0,976
09:01:07.697;3134;83;-2,600;0,610;0,989
09:01:07.960;3131;83;-2,761;0,724;0,969
09:01:08.224;3129;83;-2,645;0,692;0,932
09:01:08.502;3126;83;-2,361;0,725;0,887
09:01:08.764;3124;83;-2,123;0,825;0,841
09:01:09.027;3122;83;-2,000;0,871;0,793
09:01:09.288;3120;83;-1,931;0,890;0,748
09:01:09.567;3118;84;-1,908;0,913;0,707
09:01:09.830;3115;84;-1,936;0,928;0,658
09:01:10.093;3113;84;-1,974;0,946;0,611
09:01:10.357;3111;84;-1,968;0,966;0,562
09:01:10.623;3110;84;-1,921;1,022;0,511
09:01:10.889;3108;84;-1,859;1,063;0,457
09:01:11.155;3106;84;-1,789;1,095;0,401
09:01:11.435;3104;84;-1,710;1,108;0,342
09:01:11.697;3103;84;-1,649;1,091;0,282
09:01:11.961;3101;84;-1,620;1,076;0,223
09:01:12.226;3099;84;-1,599;1,080;0,166
09:01:12.490;3098;84;-1,568;1,085;0,108
09:01:12.753;3097;84;-1,534;1,087;0,050
09:01:13.033;3095;84;-1,502;1,080;-0,008
09:01:13.297;3094;84;-1,460;0,960;-0,068
09:01:13.563;3093;84;-1,416;0,942;-0,120
09:01:13.826;3092;84;-1,373;0,930;-0,171
09:01:14.088;3091;84;-1,335;0,950;-0,221
09:01:14.355;3090;84;-1,319;-2,884;-0,323
09:01:14.634;3089;84;-1,264;-10,930;0,134
09:01:14.898;3087;84;-1,208;-3,043;0,619
09:01:15.165;3085;84;-1,175;0,678;0,720
09:01:15.431;3083;84;-1,136;1,126;0,663
09:01:15.708;3081;85;-1,111;0,552;0,567
09:01:15.955;3079;85;-1,068;-17,835;1,058
09:01:16.220;3076;85;-0,992;-46,259;4,605
09:01:16.500;3071;85;-0,929;-56,579;8,296
09:01:16.765;3062;86;-0,865;-52,719;10,833
09:01:17.031;3049;87;-0,809;-51,592;13,417
09:01:17.294;3033;88;-0,755;-50,626;15,531
09:01:17.558;3012;90;-0,722;-28,002;15,932
09:01:17.822;2989;92;-0,665;-18,262;16,572
09:01:18.101;2964;95;-0,610;-9,813;17,019
09:01:18.366;2937;97;-0,569;19,797;17,642
09:01:18.630;2911;100;-0,537;37,795;16,815
09:01:18.894;2885;102;-0,496;8,390;14,273
09:01:19.158;2861;105;-0,430;-51,727;17,153
09:01:19.421;2834;107;-0,333;-86,691;22,778
09:01:19.702;2802;109;-0,313;-96,507;26,660
09:01:19.954;2765;112;-0,274;-96,332;29,079
09:01:20.233;2721;115;-0,229;-94,716;30,763
09:01:20.496;2673;119;-0,156;-91,846;31,701
09:01:20.776;2620;123;-0,199;-66,806;29,898
09:01:21.055;2563;127;-0,202;-14,529;28,254
09:01:21.334;2502;131;-0,179;30,915;28,537
09:01:21.613;2438;136;-0,172;73,918;30,026
09:01:21.892;2372;140;-0,175;123,315;32,741
09:01:22.173;2308;145;-0,144;153,807;33,617
09:01:22.453;2248;148;-0,206;181,048;32,030
09:01:22.746;2196;152;0,772;164,907;25,404
09:01:23.013;2154;154;0,260;183,849;19,395
09:01:23.308;2123;156;-1,201;163,262;16,586
09:01:23.585;2104;157;-0,009;190,538;12,257
09:01:23.866;2100;157;-0,754;197,058;6,011
09:01:24.130;2110;156;1,638;222,209;0,114
09:01:24.426;2134;154;-0,933;155,594;0,461
09:01:24.676;2171;151;1,076;186,756;-3,694
09:01:24.941;2218;147;3,462;245,436;-6,300
09:01:25.205;2273;143;-3,749;266,110;-8,194
09:01:25.469;2333;138;1,319;252,196;-5,930
09:01:25.732;2394;132;-2,761;259,098;-1,600
09:01:25.997;2453;126;-3,182;221,699;12,475
09:01:26.261;2504;120;-0,770;247,371;25,139
09:01:26.542;2543;115;4,261;315,879;47,679
09:01:26.793;2566;109;8,398;278,980;82,771
09:01:27.073;2570;101;6,808;194,937;47,401
09:01:27.338;2558;84;4,573;136,490;28,475
09:01:27.602;2536;70;3,966;102,554;9,680
09:01:27.867;2511;66;3,078;65,711;10,396
09:01:28.130;2484;69;2,868;24,626;24,888
09:01:28.407;2455;75;2,869;-1,466;23,711
09:01:28.672;2424;79;3,571;33,190;27,686
09:01:28.935;2392;82;5,059;110,093;44,624
09:01:29.200;2355;86;5,015;158,608;63,709
09:01:29.465;2313;88;3,258;207,702;85,737
09:01:29.730;2270;87;7,290;204,868;49,486
09:01:29.994;2232;75;2,680;95,948;-4,300
09:01:30.275;2201;61;3,212;63,932;-10,921
09:01:30.537;2176;56;3,248;34,479;-13,131
09:01:30.816;2155;58;3,834;2,387;3,990
09:01:31.080;2134;63;4,003;-23,758;21,157
